step,reward,TD_Loss,Final Loss,ally_alive,enemy_alive,t_win_rate,intrinsic_1,intrinsic_2
40521,-0.04179104417562485,0.01887129805982113,0.01887129805982113,1.046875,2.953125,0.0,0.00013419675815384835,0.0011080256663262844
41084,-0.04219269007444382,0.01747927814722061,0.01747927814722061,1.0,2.9921875,0.0,0.0001306546910200268,0.001056942855939269
71432,-0.044272664934396744,0.019444189965724945,0.019444189965724945,1.0078125,2.7578125,0.0,0.00016486925596836954,0.001313052256591618
73252,-0.04584527388215065,0.021287191659212112,0.021287191659212112,1.0234375,2.65625,0.0,0.00017140641284640878,0.0013948219129815698
91609,-0.0416666679084301,0.026054982095956802,0.026054982095956802,1.046875,2.546875,0.0234375,0.00018168600217904896,0.001473115524277091
109467,-0.03716568276286125,0.03181445226073265,0.03181445226073265,1.0234375,2.359375,0.078125,0.00019327038899064064,0.0015463962918147445
121017,-0.027369827032089233,0.04573522508144379,0.04573522508144379,1.0546875,1.9765625,0.1640625,0.00022186838032212108,0.0017551013734191656
126894,-0.0349452868103981,0.046404480934143066,0.046404480934143066,1.0546875,2.0859375,0.109375,0.000235020590480417,0.0018097617430612445
133325,-0.028818443417549133,0.04472387954592705,0.04472387954592705,1.1328125,1.921875,0.1875,0.000252342113526538,0.0019160411320626736
141268,-0.023469388484954834,0.047329846769571304,0.047329846769571304,1.1171875,1.5078125,0.2265625,0.00026409016572870314,0.0019851236138492823
145173,-0.027758007869124413,0.047687072306871414,0.047687072306871414,1.15625,1.7109375,0.1953125,0.0002645495405886322,0.0020325358491390944
147835,-0.02511179819703102,0.05270287021994591,0.05270287021994591,1.109375,1.6640625,0.2109375,0.0002594850375317037,0.0019530936842784286
231265,0.003768844297155738,0.04180591553449631,0.04180591553449631,1.3203125,0.5703125,0.546875,0.00031341961584985256,0.002169995103031397
247748,0.0018927444471046329,0.049430619925260544,0.049430619925260544,1.328125,0.53125,0.5234375,0.0003178150509484112,0.0021792356856167316
248333,0.004354587756097317,0.056759923696517944,0.056759923696517944,1.2890625,0.53125,0.5546875,0.00030924915336072445,0.002133580856025219
257373,0.0062500000931322575,0.050504911690950394,0.050504911690950394,1.3515625,0.515625,0.578125,0.00031613424653187394,0.0021642690990120173
297325,0.005536757875233889,0.05565416440367699,0.05565416440367699,1.4296875,0.53125,0.5703125,0.00031175330514088273,0.002165517769753933
308889,0.013690105639398098,0.055527541786432266,0.055527541786432266,1.484375,0.390625,0.671875,0.00031604489777237177,0.0022224285639822483
365432,0.007518797181546688,0.04909326136112213,0.04909326136112213,1.4609375,0.53125,0.59375,0.0003070552775170654,0.002223043004050851
368661,0.0043791052885353565,0.053111668676137924,0.053111668676137924,1.4140625,0.5234375,0.5546875,0.00030584813794121146,0.0022133777383714914
372833,0.006201550364494324,0.0540790781378746,0.0540790781378746,1.4375,0.4921875,0.578125,0.00030231368145905435,0.0021895694080740213
386223,0.00991325918585062,0.05187881737947464,0.05187881737947464,1.4765625,0.4375,0.625,0.0003055637935176492,0.002262794179841876
428331,0.016483517363667488,0.04621635377407074,0.04621635377407074,1.390625,0.3125,0.7109375,0.0003004333993885666,0.002243623835965991
457360,0.015365703962743282,0.04436378926038742,0.04436378926038742,1.4140625,0.3671875,0.6953125,0.0003028876963071525,0.0022343588061630726
543481,0.026731470599770546,0.031027857214212418,0.031027857214212418,1.5703125,0.1953125,0.84375,0.000315897079417482,0.0023019167128950357
544302,0.021917808800935745,0.03681134432554245,0.03681134432554245,1.5390625,0.2421875,0.78125,0.00030929080094210804,0.00228130049072206
582027,0.022342994809150696,0.029661979526281357,0.029661979526281357,1.59375,0.2265625,0.7890625,0.000316610443405807,0.0023034827318042517
585342,0.026747720316052437,0.027254080399870872,0.027254080399870872,1.640625,0.1640625,0.84375,0.0003167008107993752,0.0023081302642822266
588259,0.02770249918103218,0.025509685277938843,0.025509685277938843,1.6796875,0.1484375,0.859375,0.0003187399124726653,0.002305856440216303
665538,0.02771919220685959,0.02386723831295967,0.02386723831295967,1.6875,0.140625,0.859375,0.0003187285619787872,0.002312344266101718
674341,0.02880288101732731,0.022055746987462044,0.022055746987462044,1.71875,0.1328125,0.875,0.0003224989923182875,0.002290384378284216
686191,0.02999693900346756,0.01965608075261116,0.01965608075261116,1.78125,0.1171875,0.8828125,0.0003284430713392794,0.002311005024239421
700396,0.029751062393188477,0.020952200517058372,0.020952200517058372,1.7421875,0.125,0.8828125,0.0003239137295167893,0.0023138641845434904
705971,0.027652539312839508,0.016988608986139297,0.016988608986139297,1.703125,0.140625,0.859375,0.00032338942401111126,0.002332840347662568
714464,0.03113553114235401,0.0218218807131052,0.0218218807131052,1.7890625,0.109375,0.8984375,0.0003283695550635457,0.002321302890777588
763810,0.029223743826150894,0.021446341648697853,0.021446341648697853,1.75,0.171875,0.875,0.0003231897426303476,0.002329061971977353
817751,0.03204353153705597,0.018151570111513138,0.018151570111513138,1.6953125,0.1015625,0.9140625,0.0003292284091003239,0.0023335677105933428
837301,0.027744270861148834,0.023991063237190247,0.023991063237190247,1.6953125,0.140625,0.859375,0.00032069606822915375,0.002316474448889494
844033,0.03047851286828518,0.02052472159266472,0.02052472159266472,1.7578125,0.125,0.890625,0.0003298039664514363,0.002331461990252137
882278,0.028941815719008446,0.017449023202061653,0.017449023202061653,1.671875,0.125,0.875,0.000323703046888113,0.0023120047990232706
893698,0.032248251140117645,0.014942088164389133,0.014942088164389133,1.75,0.1015625,0.9140625,0.00033325477852486074,0.002337824320420623
911008,0.03076923079788685,0.01619495265185833,0.01619495265185833,1.8203125,0.109375,0.8984375,0.000327411136822775,0.002319647930562496
926640,0.03305288404226303,0.01215241476893425,0.01215241476893425,1.7734375,0.0859375,0.9296875,0.00032632824149914086,0.002352197887375951
933136,0.03179364278912544,0.013012777082622051,0.013012777082622051,1.703125,0.1015625,0.9140625,0.0003197566547896713,0.0023260749876499176
936459,0.03184139356017113,0.014990774914622307,0.014990774914622307,1.7890625,0.09375,0.9140625,0.0003264671831857413,0.0023663067258894444
941470,0.03306281939148903,0.01308045256882906,0.01308045256882906,1.828125,0.0703125,0.9296875,0.00032652716618031263,0.0023449480067938566
956832,0.0321212112903595,0.01596245728433132,0.01596245728433132,1.7421875,0.1015625,0.9140625,0.0003261224483139813,0.0023343286011368036
960546,0.03022974543273449,0.015864146873354912,0.015864146873354912,1.796875,0.1171875,0.890625,0.00032501056557521224,0.002299538580700755
991731,0.033303599804639816,0.013631168752908707,0.013631168752908707,1.765625,0.0703125,0.9375,0.00031862029572948813,0.0023288268130272627
