step,reward,TD_Loss,Final Loss,ally_alive,enemy_alive,t_win_rate,intrinsic_1,intrinsic_2
39535,0.2389485239982605,0.020349804311990738,0.020349804311990738,1.1015625,7.9921875,1.0,0.00010384230699855834,0.0013002490159124136
40097,0.2385026216506958,0.020164551213383675,0.020164551213383675,1.1484375,8.0,1.0,0.00010384704364696518,0.0013342212187126279
74024,0.24034221470355988,0.008139582350850105,0.008139582350850105,1.078125,7.984375,1.0,0.00010831793770194054,0.0013196368236094713
76086,0.23944967985153198,0.007858569733798504,0.007858569733798504,1.0859375,8.0,1.0,0.00010411665425635874,0.001267656683921814
95149,0.24173766374588013,0.006939155049622059,0.006939155049622059,1.1171875,8.0,1.0,0.00010805282363435254,0.001307292957790196
112826,0.2427721619606018,0.006743380334228277,0.006743380334228277,1.109375,8.0,1.0,0.00011075603106291965,0.0013600720558315516
124288,0.24473856389522552,0.006763695739209652,0.006763695739209652,1.125,7.9765625,1.0,0.00011120783892692998,0.0012875378597527742
130050,0.24319371581077576,0.007146928459405899,0.007146928459405899,1.1015625,7.9765625,1.0,0.00011338261538185179,0.0012989117531105876
136176,0.24114082753658295,0.007114143576472998,0.007114143576472998,1.078125,7.984375,1.0,0.00011179063585586846,0.0013457117602229118
143579,0.25080904364585876,0.006841088645160198,0.006841088645160198,1.15625,7.96875,1.0,0.00011951255146414042,0.0014424804830923676
147340,0.24651120603084564,0.006691733840852976,0.006691733840852976,1.0859375,7.984375,1.0,0.00011606365296756849,0.0013203744310885668
149786,0.24959155917167664,0.00721701979637146,0.00721701979637146,1.1796875,7.9765625,1.0,0.00011802514927694574,0.0014067214215174317
228486,0.2604178488254547,0.006849426776170731,0.006849426776170731,1.09375,7.7734375,1.0,0.0001493611780460924,0.0017105155857279897
244196,0.2611110210418701,0.006973887328058481,0.006973887328058481,1.1171875,7.6953125,1.0,0.0001519916986580938,0.0016609970480203629
244757,0.26241809129714966,0.007585904095321894,0.007585904095321894,1.09375,7.7265625,1.0,0.0001574520574649796,0.0017297753365710378
253239,0.2659074664115906,0.006942284293472767,0.006942284293472767,1.1015625,7.6796875,1.0,0.00016258344112429768,0.0017884379485622048
290083,0.2715267539024353,0.006307933479547501,0.006307933479547501,1.078125,7.5390625,1.0,0.00017333621508441865,0.0018981762696057558
300677,0.2775953412055969,0.0064353421330451965,0.0064353421330451965,1.109375,7.4375,1.0,0.00018278771312907338,0.001951861660927534
352677,0.29308849573135376,0.006600066088140011,0.006600066088140011,1.09375,7.3359375,1.0,0.00021259443019516766,0.002234618877992034
355642,0.2907487154006958,0.006407350767403841,0.006407350767403841,1.0859375,7.3515625,1.0,0.00021560373716056347,0.002255410887300968
359299,0.2941042184829712,0.005561837926506996,0.005561837926506996,1.171875,7.4296875,1.0,0.0002099189005093649,0.002280367771163583
371440,0.29310962557792664,0.006129302084445953,0.006129302084445953,1.1015625,7.4609375,1.0,0.00020980458066333085,0.002336671343073249
409593,0.30487674474716187,0.00572132458910346,0.00572132458910346,1.09375,7.0625,1.0,0.00022808683570474386,0.00244195107370615
435343,0.31324872374534607,0.005622260272502899,0.005622260272502899,1.109375,7.234375,1.0,0.0002371674490859732,0.0024563665501773357
512496,0.3306492865085602,0.006016982719302177,0.006016982719302177,1.09375,6.8671875,1.0,0.00025855223066173494,0.0026135945226997137
513249,0.33342263102531433,0.006500395946204662,0.006500395946204662,1.09375,6.7734375,1.0,0.0002596256381366402,0.0026182078290730715
547143,0.34113696217536926,0.005818982142955065,0.005818982142955065,1.09375,6.6875,1.0,0.00026707330835051835,0.002757301088422537
550092,0.342977911233902,0.005601246375590563,0.005601246375590563,1.125,6.7421875,1.0,0.00027079309802502394,0.00267861969769001
552691,0.34355244040489197,0.005876204464584589,0.005876204464584589,1.078125,6.7109375,1.0,0.0002697453019209206,0.0027080094441771507
622454,0.3570408523082733,0.0072245849296450615,0.0072245849296450615,1.0625,6.546875,1.0,0.0002781939401756972,0.0027785974089056253
630537,0.35515859723091125,0.006590614560991526,0.006590614560991526,1.1015625,6.453125,1.0,0.0002777035697363317,0.0027565909549593925
641405,0.3567672669887543,0.006329258903861046,0.006329258903861046,1.109375,6.71875,1.0,0.000275057420367375,0.0026982277631759644
