step,reward,TD_Loss,Final Loss,ally_alive,enemy_alive,t_win_rate,intrinsic_1,intrinsic_2
86624,0.12923641502857208,0.031175784766674042,0.031175784766674042,1.03125,6.9765625,1.0,9.149657853413373e-05,0.001096252934075892
88439,0.12319040298461914,0.025488153100013733,0.025488153100013733,1.0234375,7.0703125,1.0,8.590347715653479e-05,0.000995443551801145
165071,0.14298541843891144,0.016023758798837662,0.016023758798837662,1.0625,6.5234375,1.0,0.00010722573642851785,0.0013381225289776921
170360,0.14464198052883148,0.017504150047898293,0.017504150047898293,1.0625,6.328125,1.0,0.00011009243462467566,0.0013956144684925675
220610,0.150058776140213,0.018813617527484894,0.018813617527484894,1.09375,6.2734375,1.0,0.00011858635116368532,0.0014245465863496065
267563,0.15007846057415009,0.02179456688463688,0.02179456688463688,1.1328125,6.2265625,1.0,0.00011712996638379991,0.0014616650296375155
295809,0.15983709692955017,0.02190195396542549,0.02190195396542549,1.1328125,5.6640625,1.0,0.00012987149239052087,0.0015954048139974475
309367,0.1641845554113388,0.022381987422704697,0.022381987422704697,1.1484375,5.4140625,1.0,0.00014222068421076983,0.0017311017727479339
324849,0.16830308735370636,0.027067603543400764,0.027067603543400764,1.1328125,5.4921875,1.0,0.0001420385087840259,0.001863280194811523
342880,0.17164787650108337,0.027456680312752724,0.027456680312752724,1.140625,5.296875,1.0,0.00014744715008419007,0.0018242107471451163
352339,0.15986336767673492,0.024658111855387688,0.024658111855387688,1.15625,5.3203125,1.0,0.00013595668133348227,0.0016563988756388426
358114,0.16903886198997498,0.025476999580860138,0.025476999580860138,1.171875,5.1484375,1.0,0.00014496910443995148,0.0017785076051950455
563269,0.18230804800987244,0.028612030670046806,0.028612030670046806,1.09375,4.5078125,1.0,0.0001606453733984381,0.0019599178340286016
605246,0.17462633550167084,0.029944095760583878,0.029944095760583878,1.125,4.515625,1.0,0.00015453500964213163,0.0019234080100432038
606797,0.17273034155368805,0.028015166521072388,0.028015166521072388,1.1015625,4.5703125,1.0,0.00015343533596023917,0.0018729525618255138
631078,0.17960916459560394,0.03330229967832565,0.03330229967832565,1.109375,4.6328125,1.0,0.00015775952488183975,0.0019582537934184074
732134,0.18352000415325165,0.03530976176261902,0.03530976176261902,1.0859375,4.34375,1.0,0.00015928706852719188,0.0019852295517921448
761820,0.1805165559053421,0.034136731177568436,0.034136731177568436,1.109375,4.1484375,1.0,0.00015621354395989329,0.0019725013989955187
907735,0.17151837050914764,0.035856202244758606,0.035856202244758606,1.09375,4.015625,1.0,0.0001493748277425766,0.0018111696699634194
916308,0.18089909851551056,0.03455672040581703,0.03455672040581703,1.0390625,4.3671875,1.0,0.00015277911734301597,0.0018556052818894386
926779,0.1777363419532776,0.03553509712219238,0.03553509712219238,1.1484375,4.140625,1.0,0.0001527159329270944,0.001874205656349659
961664,0.17632652819156647,0.03495973348617554,0.03495973348617554,1.109375,4.1171875,1.0,0.00014895993808750063,0.001833893358707428
1078655,0.19013795256614685,0.038256872445344925,0.038256872445344925,1.0859375,3.953125,1.0,0.0001612443884368986,0.00199244637042284
1161658,0.17395910620689392,0.04546240717172623,0.04546240717172623,1.203125,3.9140625,1.0,0.00014722452033311129,0.0018748443108052015
1388481,0.1971627175807953,0.04707999527454376,0.04707999527454376,1.3515625,3.2890625,1.0,0.00016577258065808564,0.002122929086908698
1390466,0.1888325959444046,0.0472894161939621,0.0472894161939621,1.125,3.15625,1.0,0.00015745789278298616,0.0020695349667221308
1487955,0.1984393447637558,0.05252396687865257,0.05252396687865257,1.25,2.8203125,1.0,0.0001694604434305802,0.0020836221519857645
1496208,0.19415344297885895,0.05053804814815521,0.05053804814815521,1.140625,3.15625,1.0,0.0001640872796997428,0.0020981584675610065
1503518,0.19735205173492432,0.05155245587229729,0.05155245587229729,1.2734375,3.0078125,1.0,0.0001652620849199593,0.00212493515573442
1710519,0.2150067836046219,0.06311091780662537,0.06311091780662537,1.40625,2.46875,1.0,0.00017875857884064317,0.0023930526804178953
1735525,0.2104056477546692,0.08599475026130676,0.08599475026130676,1.515625,2.2109375,1.0,0.00017468445003032684,0.002296872902661562
1767230,0.20943458378314972,0.0637427493929863,0.0637427493929863,1.4296875,2.3984375,1.0,0.00017252661928068846,0.0022835806012153625
1803868,0.2147998958826065,0.0651666447520256,0.0651666447520256,1.328125,2.375,1.0,0.00018033965898212045,0.002411584137007594
1818499,0.22319574654102325,0.06643738597631454,0.06643738597631454,1.4921875,2.296875,1.0,0.00018382036068942398,0.002516178647056222
1840404,0.22141219675540924,0.07845959067344666,0.07845959067344666,1.4375,2.40625,1.0,0.00018060840375255793,0.002560354769229889
1967444,0.23781099915504456,0.08055207133293152,0.08055207133293152,1.71875,2.2421875,1.0,0.0001906388788484037,0.0026283543556928635
2103919,0.23547236621379852,0.07575887441635132,0.07575887441635132,1.7265625,1.96875,1.0,0.00018980560707859695,0.002595749916508794
2153772,0.2255777269601822,0.07060644775629044,0.07060644775629044,1.8828125,2.1328125,1.0,0.00018243578961119056,0.0024691505823284388
2170627,0.2350897490978241,0.0988677442073822,0.0988677442073822,1.9375,2.015625,1.0,0.00018698455824051052,0.002524453215301037
2265493,0.24688497185707092,0.07994084060192108,0.07994084060192108,1.890625,1.96875,1.0,0.0002014456404140219,0.002686678897589445
2293294,0.2510376572608948,0.07463336735963821,0.07463336735963821,2.0625,1.5859375,1.0,0.00020185844914522022,0.002644508145749569
2335069,0.25542014837265015,0.06967690587043762,0.06967690587043762,2.171875,1.78125,1.0,0.00020497060904745013,0.002706923522055149
2372910,0.25764086842536926,0.07684624940156937,0.07684624940156937,2.2265625,1.59375,1.0,0.00020910208695568144,0.0027328794822096825
2388678,0.26049333810806274,0.0726960226893425,0.0726960226893425,2.3671875,1.234375,1.0,0.0002082034043269232,0.0028018655721098185
2396766,0.26068809628486633,0.10477199405431747,0.10477199405431747,2.2578125,1.359375,1.0,0.00021172674314584583,0.0027579213492572308
2408589,0.25670433044433594,0.07355985790491104,0.07355985790491104,2.2109375,1.453125,1.0,0.00020491942996159196,0.002704736776649952
2446448,0.2671257555484772,0.06702527403831482,0.06702527403831482,2.3359375,1.3359375,1.0,0.0002152831293642521,0.002748708939179778
2455678,0.26579201221466064,0.06443508714437485,0.06443508714437485,2.5546875,0.96875,1.0,0.00021418365940917283,0.0027068585623055696
2530507,0.26934295892715454,0.07622617483139038,0.07622617483139038,2.5625,1.2421875,1.0,0.0002142854646081105,0.0028530240524560213
2532216,0.2746404707431793,0.06832804530858994,0.06832804530858994,2.3203125,1.4140625,1.0,0.00021775737695861608,0.002959615085273981
2599910,0.27727600932121277,0.06265722215175629,0.06265722215175629,2.4765625,1.03125,1.0,0.00021978435688652098,0.0029419136699289083
2618179,0.2741965055465698,0.057512328028678894,0.057512328028678894,2.6015625,1.0234375,1.0,0.00021573396224994212,0.0029106277506798506
2653217,0.2949903905391693,0.05424318090081215,0.05424318090081215,2.9609375,0.828125,1.0,0.00023360608611255884,0.003000377444550395
2662521,0.2802254259586334,0.06049071252346039,0.06049071252346039,2.7109375,0.828125,1.0,0.00022247806191444397,0.0028555607423186302
2663615,0.27590492367744446,0.05960635468363762,0.05960635468363762,2.59375,0.8046875,1.0,0.0002160492294933647,0.0027856514789164066
2757203,0.28481772541999817,0.059689559042453766,0.059689559042453766,2.7421875,0.7890625,1.0,0.0002246653602924198,0.002917504869401455
2790429,0.2771444022655487,0.06966163963079453,0.06966163963079453,2.6015625,0.9765625,1.0,0.00022129797434899956,0.0028156526386737823
2795857,0.27520430088043213,0.052959490567445755,0.052959490567445755,2.6875,0.9609375,1.0,0.00021844884031452239,0.0028766021132469177
2855868,0.2844178080558777,0.05383361876010895,0.05383361876010895,2.796875,0.8671875,1.0,0.00022582100064028054,0.0029279841110110283
2906021,0.2962685823440552,0.05563037469983101,0.05563037469983101,2.9609375,0.75,1.0,0.00023435227922163904,0.003058605594560504
2943638,0.28997603058815,0.05018756538629532,0.05018756538629532,2.7265625,0.84375,1.0,0.00023007667914498597,0.002959716599434614
2950585,0.2941586673259735,0.047319911420345306,0.047319911420345306,3.0625,0.65625,1.0,0.00023255613632500172,0.0030478378757834435
3038314,0.294965922832489,0.049008190631866455,0.049008190631866455,2.9765625,0.734375,1.0,0.0002307230024598539,0.0029789600521326065
