step,reward,TD_Loss,Final Loss,ally_alive,enemy_alive,t_win_rate,intrinsic_1,intrinsic_2
82703,0.1419955939054489,0.022286541759967804,0.022286541759967804,1.0546875,11.5859375,1.0,0.00022450245160143822,0.0016532923327758908
83920,0.13751505315303802,0.01802367903292179,0.01802367903292179,1.0625,11.65625,1.0,0.0002164040633942932,0.0015617782482877374
155269,0.15417015552520752,0.013757187873125076,0.013757187873125076,1.109375,10.6953125,1.0,0.0002521268033888191,0.0017679304582998157
160128,0.15830369293689728,0.01487388089299202,0.01487388089299202,1.0859375,10.4375,1.0,0.00026280584279447794,0.0018432034412398934
206424,0.15630069375038147,0.018827088177204132,0.018827088177204132,1.1015625,10.1953125,1.0,0.00026135239750146866,0.0016066004754975438
250435,0.15919890999794006,0.02422821894288063,0.02422821894288063,1.1328125,10.0546875,1.0,0.0002686812949832529,0.0016781440936028957
280353,0.16885803639888763,0.02053838036954403,0.02053838036954403,1.1171875,9.4609375,1.0,0.0002951395290438086,0.0017198588466271758
297250,0.17272265255451202,0.02876058779656887,0.02876058779656887,1.1015625,9.2734375,1.0,0.0002974514791276306,0.0018029594793915749
314195,0.16711245477199554,0.022486072033643723,0.022486072033643723,1.125,9.40625,1.0,0.00028947251848876476,0.0016644522547721863
334429,0.1715380698442459,0.022251030430197716,0.022251030430197716,1.0703125,8.7421875,1.0,0.00030773840262554586,0.0016778800636529922
344681,0.17404039204120636,0.02700423263013363,0.02700423263013363,1.125,8.8671875,1.0,0.0003109510871581733,0.00181148003321141
351386,0.1714823991060257,0.03711339458823204,0.03711339458823204,1.0859375,8.984375,1.0,0.0003032675595022738,0.0017820346402004361
617416,0.16651278734207153,0.026393450796604156,0.026393450796604156,1.359375,7.0703125,1.0,0.00030011075432412326,0.0016688404139131308
662588,0.17138774693012238,0.030311906710267067,0.030311906710267067,1.359375,7.15625,1.0,0.0003064229094889015,0.0018971696263179183
664262,0.17820489406585693,0.030100462958216667,0.030100462958216667,1.3046875,6.6953125,1.0,0.00031522978679277003,0.0019750932697206736
690056,0.17860189080238342,0.03259992599487305,0.03259992599487305,1.40625,6.5625,1.0,0.0003109794924966991,0.0019726832397282124
808879,0.1939663290977478,0.03996392339468002,0.03996392339468002,1.8046875,4.8203125,1.0,0.00033386462018825114,0.0021727592684328556
842378,0.19087238609790802,0.039807528257369995,0.039807528257369995,1.671875,5.28125,1.0,0.0003280637611169368,0.002088227542117238
1009014,0.22601063549518585,0.043732352554798126,0.043732352554798126,3.1875,3.4765625,1.0,0.00040376445394940674,0.002610179828479886
1018437,0.23700088262557983,0.060211338102817535,0.060211338102817535,3.9765625,2.609375,1.0,0.0004217463138047606,0.0028828398790210485
1030273,0.24340304732322693,0.04784664511680603,0.04784664511680603,3.7265625,2.578125,1.0,0.00043261799146421254,0.002911212155595422
1068419,0.2343863695859909,0.04636487737298012,0.04636487737298012,3.6953125,2.0078125,1.0,0.0004171896434854716,0.002796545159071684
1188232,0.26026323437690735,0.03865814208984375,0.03865814208984375,5.015625,1.7578125,1.0,0.0004633274511434138,0.0032058698125183582
1270236,0.25284895300865173,0.028674928471446037,0.028674928471446037,5.1328125,1.2265625,1.0,0.00044853819417767227,0.0031067579984664917
1510978,0.25388169288635254,0.01884174533188343,0.01884174533188343,5.8984375,0.78125,1.0,0.00043948128586634994,0.003189413109794259
1513141,0.2694438099861145,0.02029430866241455,0.02029430866241455,6.171875,0.6875,1.0,0.0004699094279203564,0.0033961294684559107
1614908,0.2783324420452118,0.017758581787347794,0.017758581787347794,6.3046875,0.625,1.0,0.0004825064679607749,0.003548908745869994
1623611,0.28037935495376587,0.020481862127780914,0.020481862127780914,6.375,0.703125,1.0,0.000489173224195838,0.003619827562943101
1631883,0.2743663787841797,0.020634502172470093,0.020634502172470093,5.8359375,0.5546875,1.0,0.00047337645082734525,0.003570674452930689
1842231,0.27918365597724915,0.017264464870095253,0.017264464870095253,6.3125,0.515625,1.0,0.00048609316581860185,0.0035063656978309155
1865945,0.28034985065460205,0.017453176900744438,0.017453176900744438,6.390625,0.640625,1.0,0.0004899412160739303,0.003707169322296977
1898367,0.28409644961357117,0.02026231586933136,0.02026231586933136,6.4375,0.671875,1.0,0.0004923954256810248,0.003825269639492035
1939435,0.28623050451278687,0.018751056864857674,0.018751056864857674,6.515625,0.484375,1.0,0.0004969008732587099,0.003831604029983282
1955015,0.2875829339027405,0.019795067608356476,0.019795067608356476,6.359375,0.59375,1.0,0.0005015948554500937,0.0037734536454081535
1978191,0.2726294994354248,0.01614791713654995,0.01614791713654995,6.265625,0.75,1.0,0.0004746189806610346,0.0035478079225867987
2111451,0.2620810568332672,0.01723116636276245,0.01723116636276245,5.75,0.609375,1.0,0.00044625854934565723,0.0033922025468200445
