step,reward,TD_Loss,Final Loss,ally_alive,enemy_alive,t_win_rate,intrinsic_1,intrinsic_2
77955,-0.021713316440582275,0.04820633307099342,0.04820633307099342,1.0390625,8.2734375,0.0,0.0001245554449269548,0.0008391964947804809
78990,-0.021603375673294067,0.046391889452934265,0.046391889452934265,1.046875,8.3515625,0.0,0.00012098808656446636,0.0007841256447136402
144149,-0.02223380282521248,0.03958585485816002,0.03958585485816002,1.046875,7.5078125,0.0,0.00015993183478713036,0.0012227186234667897
148061,-0.021855102851986885,0.056597355753183365,0.056597355753183365,1.0625,7.4375,0.0,0.00015965482452884316,0.0013604166451841593
183982,-0.022658877074718475,0.041226353496313095,0.041226353496313095,1.1015625,7.5078125,0.0,0.0001633518550079316,0.001315122819505632
218006,-0.022606853395700455,0.042686428874731064,0.042686428874731064,1.046875,7.4609375,0.0,0.0001689151831669733,0.0012455158866941929
239417,-0.021765416488051414,0.03830209746956825,0.03830209746956825,1.0859375,7.015625,0.0,0.00018438094411976635,0.001478762598708272
250854,-0.0223893653601408,0.035578060895204544,0.035578060895204544,1.0390625,6.890625,0.0,0.0001919595233630389,0.0015286050038412213
263074,-0.02240253984928131,0.03337912634015083,0.03337912634015083,1.0703125,6.765625,0.0,0.00019761176372412592,0.0015908043133094907
278470,-0.02099076472222805,0.03301171213388443,0.03301171213388443,1.1015625,6.6484375,0.0,0.0001962821843335405,0.0015672086738049984
285794,-0.021813809871673584,0.033843908458948135,0.033843908458948135,1.078125,6.640625,0.0,0.0002008907322306186,0.0016782117309048772
290724,-0.021761657670140266,0.03467707335948944,0.03467707335948944,1.0859375,6.5859375,0.0,0.00019813852850347757,0.001805247156880796
448394,-0.01880684494972229,0.04459943249821663,0.04459943249821663,1.046875,6.546875,0.0,0.00018254894530400634,0.0017946437001228333
483867,-0.021305149421095848,0.051365841180086136,0.051365841180086136,1.078125,6.71875,0.0,0.00019884289940819144,0.001977034844458103
485301,-0.019189106300473213,0.050821393728256226,0.050821393728256226,1.046875,6.515625,0.0,0.0001894600864034146,0.0018830248154699802
506634,-0.019907629117369652,0.053306322544813156,0.053306322544813156,1.0703125,6.5703125,0.0,0.00019738548144232482,0.0020386914256960154
640563,-0.015826180577278137,0.06089334934949875,0.06089334934949875,1.125,6.640625,0.0,0.00016596389468759298,0.0014866457786411047
684739,-0.013574112206697464,0.07157571613788605,0.07157571613788605,1.2734375,6.6484375,0.0,0.00015136103320401162,0.0014133552322164178
860261,-0.009324667975306511,0.053032372146844864,0.053032372146844864,1.5859375,6.5546875,0.0,0.00012986706860829145,0.001015729852952063
867745,-0.010188239626586437,0.04333927854895592,0.04333927854895592,1.5,6.5078125,0.0,0.0001353712723357603,0.0010925462702289224
877052,-0.011129431426525116,0.055843282490968704,0.055843282490968704,1.640625,6.71875,0.0,0.00013854420103598386,0.0010872251586988568
908070,-0.009541627950966358,0.0527774803340435,0.0527774803340435,1.734375,6.53125,0.0,0.00012992160918656737,0.0009914978872984648
1002516,-0.014187751337885857,0.050548844039440155,0.050548844039440155,1.3046875,6.34375,0.0,0.00018022130825556815,0.0015042198356240988
1072142,-0.013693860732018948,0.04793019965291023,0.04793019965291023,1.3125,6.15625,0.0078125,0.00018173099670093507,0.001559018506668508
1308789,-0.014728408306837082,0.05886131897568703,0.05886131897568703,1.046875,5.28125,0.0,0.00021332500909920782,0.0019052837742492557
1310930,-0.014199953526258469,0.06184462830424309,0.06184462830424309,1.109375,5.2109375,0.0,0.00021080979786347598,0.0019103961531072855
1425260,-0.012876918539404869,0.05556510388851166,0.05556510388851166,1.109375,4.859375,0.0078125,0.00020802767539862543,0.0019288761541247368
1435503,-0.013104728423058987,0.04836883395910263,0.04836883395910263,1.09375,4.8984375,0.0,0.0002087025495711714,0.0018843733705580235
1444281,-0.012390670366585255,0.049974001944065094,0.049974001944065094,1.0703125,4.6640625,0.0078125,0.0002047470916295424,0.0018661859212443233
