step,reward,TD_Loss,Final Loss,ally_alive,enemy_alive,t_win_rate,intrinsic_1,intrinsic_2
83739,0.14477740228176117,0.023765020072460175,0.023765020072460175,1.0546875,8.0625,1.0,0.00014216103591024876,0.0016080477507784963
84885,0.1419210433959961,0.02246263064444065,0.02246263064444065,1.0546875,8.21875,1.0,0.00013972434680908918,0.0015205655945464969
157345,0.15829062461853027,0.018856393173336983,0.018856393173336983,1.0625,7.3671875,1.0,0.0001674882078077644,0.0017326107481494546
161977,0.1605679988861084,0.020299645140767097,0.020299645140767097,1.0546875,7.453125,1.0,0.00017185900651384145,0.0016500888159498572
205713,0.16041682660579681,0.02170337177813053,0.02170337177813053,1.0703125,7.3125,1.0,0.00017103440768551081,0.0017292950069531798
247812,0.16260617971420288,0.022525954991579056,0.022525954991579056,1.0625,7.3671875,1.0,0.0001686582836555317,0.0017386244144290686
274848,0.17307431995868683,0.02947041392326355,0.02947041392326355,1.0546875,6.828125,1.0,0.0001892217987915501,0.0019047611858695745
288822,0.17364287376403809,0.02487865276634693,0.02487865276634693,1.0859375,6.859375,1.0,0.00018630543490871787,0.001825147308409214
304689,0.17460232973098755,0.026647722348570824,0.026647722348570824,1.1171875,6.65625,1.0,0.00018536024435888976,0.0018085645278915763
324129,0.17433571815490723,0.029007824137806892,0.029007824137806892,1.0625,6.40625,1.0,0.0001852775167208165,0.0017295677680522203
333634,0.17729082703590393,0.024913089349865913,0.024913089349865913,1.0390625,6.390625,1.0,0.00019202315888833255,0.0018228914123028517
339550,0.17980240285396576,0.026927854865789413,0.026927854865789413,1.0546875,6.3671875,1.0,0.000197134620975703,0.0017690731910988688
552639,0.19240817427635193,0.04076183959841728,0.04076183959841728,1.125,5.5078125,1.0,0.0002061812992906198,0.001789677538909018
597852,0.1958431452512741,0.048933081328868866,0.048933081328868866,1.2265625,5.3515625,1.0,0.00020475171913858503,0.0017835043836385012
599745,0.19161418080329895,0.045279957354068756,0.045279957354068756,1.171875,5.0703125,1.0,0.00020213235984556377,0.001759608625434339
624248,0.19243936240673065,0.0496736578643322,0.0496736578643322,1.296875,5.171875,1.0,0.00020113796927034855,0.0017068623565137386
732580,0.19179025292396545,0.04343436285853386,0.04343436285853386,1.09375,5.0859375,1.0,0.00019427451479714364,0.0017777031753212214
769314,0.20042911171913147,0.046397387981414795,0.046397387981414795,1.1796875,4.890625,1.0,0.00020128008327446878,0.0017519056564196944
928908,0.20346646010875702,0.05574057251214981,0.05574057251214981,1.453125,4.5,1.0,0.00020194059470668435,0.0018679959466680884
938157,0.20226462185382843,0.05147968605160713,0.05147968605160713,1.4921875,4.1875,1.0,0.00020192591182421893,0.0018655634485185146
949701,0.2071867138147354,0.060253120958805084,0.060253120958805084,1.5703125,4.03125,1.0,0.0002096327079925686,0.0019443664932623506
986271,0.21040375530719757,0.09231337159872055,0.09231337159872055,1.765625,3.984375,1.0,0.00021220782946329564,0.0019164035329595208
1107954,0.2130623459815979,0.05671491473913193,0.05671491473913193,1.890625,3.6953125,1.0,0.00022255438670981675,0.001956840744242072
1185980,0.21643005311489105,0.05645296350121498,0.05645296350121498,1.7109375,3.6484375,1.0,0.0002202463074354455,0.002066592453047633
1414977,0.23601926863193512,0.06489745527505875,0.06489745527505875,2.421875,2.359375,1.0,0.0002408524160273373,0.0021856403909623623
1417154,0.2359834611415863,0.06066380813717842,0.06066380813717842,2.5078125,2.234375,1.0,0.0002443956909701228,0.002178417518734932
1518349,0.2441355437040329,0.06558175384998322,0.06558175384998322,2.7578125,1.859375,1.0,0.00025069923140108585,0.0022419216111302376
1527202,0.24487321078777313,0.08007773756980896,0.08007773756980896,2.609375,2.0,1.0,0.0002513481886126101,0.002260044449940324
1534723,0.2520047426223755,0.060415543615818024,0.060415543615818024,2.90625,1.78125,1.0,0.00026112498017027974,0.002291470067575574
1742403,0.25260603427886963,0.05008438602089882,0.05008438602089882,3.1953125,1.515625,1.0,0.0002619244041852653,0.0020934666972607374
1767060,0.2432449609041214,0.07653484493494034,0.07653484493494034,3.203125,1.5546875,1.0,0.00025489000836387277,0.002055608667433262
1798415,0.2632823884487152,0.05156402289867401,0.05156402289867401,3.4296875,1.3828125,1.0,0.0002754433953668922,0.002263793023303151
1836022,0.2529045045375824,0.04974255710840225,0.04974255710840225,3.234375,1.3515625,1.0,0.00026293034898117185,0.0021345256827771664
1851395,0.25126782059669495,0.05223056674003601,0.05223056674003601,3.1875,1.6953125,1.0,0.00026034924667328596,0.0021914273966103792
1875212,0.257733017206192,0.08095730096101761,0.08095730096101761,3.1640625,1.7578125,0.9921875,0.00026699365116655827,0.002203676849603653
2003715,0.26276805996894836,0.04356364160776138,0.04356364160776138,3.5390625,1.2109375,1.0,0.0002702971687540412,0.0021239034831523895
2142990,0.2634492516517639,0.04504268243908882,0.04504268243908882,3.3125,0.9921875,1.0,0.0002699932374525815,0.0022537927143275738
2195353,0.27000612020492554,0.04293878376483917,0.04293878376483917,3.9453125,1.2578125,1.0,0.00027451704954728484,0.002351454459130764
2212528,0.27398818731307983,0.04379219934344292,0.04379219934344292,3.65625,1.28125,1.0,0.00027955457335337996,0.0023202558513730764
2310817,0.2675313949584961,0.04670320451259613,0.04670320451259613,3.6484375,1.2109375,1.0,0.0002736595051828772,0.0023058480583131313
2341359,0.28940993547439575,0.048621099442243576,0.048621099442243576,4.1875,0.8671875,1.0,0.00029640161665156484,0.0025028407108038664
2385255,0.2615480124950409,0.04625049605965614,0.04625049605965614,3.46875,1.328125,1.0,0.0002620067971292883,0.0023365237284451723
2424202,0.2579877972602844,0.043838199228048325,0.043838199228048325,3.6484375,1.0234375,1.0,0.000264687929302454,0.002254301682114601
2440892,0.28082942962646484,0.03543651103973389,0.03543651103973389,4.109375,0.9453125,1.0,0.00028706787270493805,0.0024918776471167803
2449403,0.27722761034965515,0.04993116855621338,0.04993116855621338,3.578125,1.234375,1.0,0.0002850552264135331,0.0024657335598021746
2462033,0.2818211317062378,0.04342133179306984,0.04342133179306984,3.96875,0.796875,1.0,0.00028961646603420377,0.0024733066093176603
2500994,0.2768933176994324,0.04082116857171059,0.04082116857171059,3.546875,1.03125,1.0,0.0002813911414705217,0.0024579716846346855
2510522,0.2727943956851959,0.04545832425355911,0.04545832425355911,3.796875,1.15625,1.0,0.00027744649560190737,0.002391095971688628
2589858,0.2820014953613281,0.04123995825648308,0.04123995825648308,3.78125,1.0703125,1.0,0.00028676283545792103,0.0025177872739732265
2591461,0.27667808532714844,0.041770804673433304,0.041770804673433304,3.671875,0.890625,1.0,0.00028109762934036553,0.002475715009495616
2661440,0.2820042371749878,0.042689256370067596,0.042689256370067596,3.96875,0.8125,1.0,0.0002876624639611691,0.0025019708555191755
2680056,0.2769739031791687,0.07446004450321198,0.07446004450321198,3.609375,0.9921875,1.0,0.0002843357506208122,0.0024900103453546762
2717151,0.27456438541412354,0.04265163093805313,0.04265163093805313,3.8359375,1.0234375,1.0,0.00028114349697716534,0.002434834372252226
2726349,0.2677091360092163,0.04000900313258171,0.04000900313258171,4.078125,1.1171875,1.0,0.0002762695075944066,0.0023813971783965826
2727330,0.28783148527145386,0.03792832791805267,0.03792832791805267,4.28125,0.828125,1.0,0.0002934429794549942,0.0025618812069296837
2823812,0.2744975984096527,0.04003513976931572,0.04003513976931572,4.09375,0.90625,1.0,0.0002782733354251832,0.0024733212776482105
2858136,0.2835896611213684,0.04207457974553108,0.04207457974553108,4.015625,0.921875,1.0,0.000286794122075662,0.002517085988074541
2863852,0.2798807919025421,0.0544014573097229,0.0544014573097229,4.1171875,0.921875,0.9921875,0.00028561396175064147,0.002540411427617073
2926341,0.2862848937511444,0.035449519753456116,0.035449519753456116,4.21875,0.8359375,1.0,0.0002907657762989402,0.0026189496275037527
2978686,0.2808866798877716,0.04635756462812424,0.04635756462812424,3.984375,1.296875,1.0,0.00028047070372849703,0.002550329314544797
3018052,0.28675881028175354,0.03838193044066429,0.03838193044066429,4.2734375,0.65625,1.0,0.00029261934105306864,0.0025311517529189587
3025285,0.2645780146121979,0.04144031181931496,0.04144031181931496,3.5546875,1.1171875,1.0,0.00026890166918747127,0.0023476879578083754
3116193,0.2853824198246002,0.045718178153038025,0.045718178153038025,3.71875,1.1328125,1.0,0.0002924003347288817,0.0025124410167336464
3137346,0.2812598943710327,0.03875594586133957,0.03875594586133957,4.0390625,1.0859375,1.0,0.00028835804550908506,0.002587751019746065
3229716,0.29242634773254395,0.050578102469444275,0.050578102469444275,4.09375,0.8046875,1.0,0.00029880498186685145,0.0026303627528250217
3326994,0.27774426341056824,0.050275783985853195,0.050275783985853195,3.9140625,1.0546875,1.0,0.00028265322907827795,0.0024105412885546684
3451950,0.28497204184532166,0.036180123686790466,0.036180123686790466,3.8671875,0.8359375,1.0,0.0002909642062149942,0.002596358535811305
3510242,0.2851561903953552,0.036383338272571564,0.036383338272571564,3.9375,0.8203125,1.0,0.0002919610415119678,0.002573193982243538
3591626,0.2866038382053375,0.0482327938079834,0.0482327938079834,4.109375,0.8359375,1.0,0.0002913170901592821,0.002584158442914486
3657673,0.28991177678108215,0.033348727971315384,0.033348727971315384,3.9609375,0.8046875,1.0,0.0002976625401061028,0.0026227820198982954
3682366,0.29817864298820496,0.029323285445570946,0.029323285445570946,4.1328125,0.8359375,1.0,0.00030635742587037385,0.002765882294625044
3758460,0.3013036251068115,0.030026674270629883,0.030026674270629883,4.484375,0.515625,1.0,0.0003100960166193545,0.00273002777248621
3768558,0.2921149432659149,0.02864302322268486,0.02864302322268486,4.40625,0.7734375,1.0,0.0002998344716615975,0.0026425758842378855
3812280,0.2955107092857361,0.03563406690955162,0.03563406690955162,4.1953125,0.6484375,1.0,0.0003054020053241402,0.002622931031510234
3823464,0.27951812744140625,0.033463750034570694,0.033463750034570694,4.03125,0.859375,1.0,0.00028610523440875113,0.0024687545374035835
3979508,0.30972567200660706,0.028313927352428436,0.028313927352428436,4.671875,0.546875,1.0,0.0003180476778652519,0.0027082895394414663
4000264,0.29698607325553894,0.03181183338165283,0.03181183338165283,4.375,0.515625,1.0,0.0003019934520125389,0.0026894323527812958
4033573,0.3209647536277771,0.02761886455118656,0.02761886455118656,4.734375,0.515625,1.0,0.0003274735645391047,0.0028906615916639566
4074323,0.3122730553150177,0.027414673939347267,0.027414673939347267,4.5234375,0.6328125,1.0,0.00031768649932928383,0.002744642086327076
4080598,0.29568663239479065,0.03191773220896721,0.03191773220896721,4.3046875,0.65625,1.0,0.00030269791022874415,0.0026135772932320833
4095528,0.30296605825424194,0.02934487909078598,0.02934487909078598,4.5078125,0.71875,1.0,0.00031105364905670285,0.0025441909674555063
4142813,0.31779664754867554,0.04413890838623047,0.04413890838623047,4.7109375,0.5859375,0.9921875,0.00032706488855183125,0.0028528794646263123
4209671,0.30977725982666016,0.029288601130247116,0.029288601130247116,4.625,0.5859375,1.0,0.000318308622809127,0.0027308338321745396
