step,reward,Actor_Loss,Critic Loss
70958,-0.03065917268395424,-0.047107767313718796,0.03745226934552193
71805,-0.02844531647861004,-0.02844531647861004,-0.15059120953083038,0.03784668818116188
70958,-0.03065917268395424,-0.03065917268395424,-0.047107767313718796,0.03745226934552193
71805,-0.02844531647861004,-0.02844531647861004,-0.15059120953083038,0.03784668818116188
118811,-0.0037664782721549273,-0.0037664782721549273,-0.3280505836009979,0.05382486432790756
121742,-0.004543389193713665,-0.004543389193713665,-0.3848831057548523,0.0421435683965683
146298,-0.002554930979385972,-0.002554930979385972,-0.41043153405189514,0.029807450249791145
166946,0.0017482517287135124,0.0017482517287135124,-0.33538344502449036,0.03551921993494034
180390,0.010477298870682716,0.010477298870682716,-0.13226446509361267,0.023381153121590614
187115,0.0011415524641051888,0.0011415524641051888,-0.16187983751296997,0.030507834628224373
194217,0.009417303837835789,0.009417303837835789,-0.1861894577741623,0.021453995257616043
202862,0.013045944273471832,0.013045944273471832,-0.7583063244819641,0.030034296214580536
207209,0.015552995726466179,0.015552995726466179,-0.7815141081809998,0.017083287239074707
210024,0.010801591910421848,0.010801591910421848,-0.7359110713005066,0.019761204719543457
99232,-0.013603818602859974,-0.013603818602859974,0.4387540817260742,0.007144882809370756
100662,-0.0146329365670681,-0.0146329365670681,0.41060611605644226,0.007273443508893251
194011,-0.015102747827768326,-0.015102747827768326,0.16047924757003784,0.005350050982087851
199359,-0.015676358714699745,-0.015676358714699745,0.5144807696342468,0.006433171220123768
255680,-0.013510310091078281,-0.013510310091078281,-0.02102389931678772,0.00863245502114296
305739,-0.015600211918354034,-0.015600211918354034,0.10522932559251785,0.009620770812034607
336906,-0.012294131331145763,-0.012294131331145763,0.11944224685430527,0.008769752457737923
352908,-0.013752455823123455,-0.013752455823123455,0.3250507712364197,0.009049534797668457
370061,-0.010481181554496288,-0.010481181554496288,-0.03944183513522148,0.008899438194930553
391791,-0.01043219119310379,-0.01043219119310379,0.11015121638774872,0.011330432258546352
402888,-0.00983306672424078,-0.00983306672424078,0.02571571059525013,0.009172470308840275
410154,-0.006926806643605232,-0.006926806643605232,0.13661989569664001,0.014064060524106026
651393,-0.002810680540278554,-0.002810680540278554,-0.22104452550411224,0.009785818867385387
699943,0.0024891102220863104,0.0024891102220863104,0.16619446873664856,0.008211296051740646
701672,0.0014662756584584713,0.0014662756584584713,0.5417348742485046,0.008927922695875168
727989,-0.0006560244946740568,-0.0006560244946740568,-0.2059563547372818,0.008552447892725468
843547,-0.0008789277053438127,-0.0008789277053438127,-0.3824770450592041,0.01229203213006258
875564,0.003505696775391698,0.003505696775391698,-0.5116203427314758,0.00858336128294468
1029370,0.005434782709926367,0.005434782709926367,-0.316396564245224,0.007573217619210482
1038139,0.005698655266314745,0.005698655266314745,-0.39366281032562256,0.006378019694238901
1049484,0.00534402159973979,0.00534402159973979,-0.4446260929107666,0.006102994550019503
1085606,0.006867523305118084,0.006867523305118084,-0.693446934223175,0.005487991962581873
